,Body,Actual Tags,Predicted Tags
1556,專業眼影,"('眼影盤',)","('眼影盤',)"
1557,青島啤酒,"('啤酒',)","('啤酒',)"
1558,迷彩人造睡袋附枕頭,"('睡袋',)","('睡袋',)"
1559,魚子保濕清透隔離防曬乳粉紫,"('防曬',)","('防曬',)"
1560,曼秀雷敦海洋清爽沐浴乳,"('沐浴乳',)","('沐浴乳',)"
1561,得意優質抽取式衛生紙抽包袋,"('衛生紙',)","('衛生紙',)"
1562,犬用嚴選健康低脂軟雞肉條,"('狗零食',)","('狗零食',)"
1563,日清大盛裝日式炒麵豚香醬油味,"('速食麵/泡麵',)","('速食麵/泡麵',)"
1564,輕巧型吹風機白,"('吹風機',)","('吹風機',)"
1565,萊肯洗髮精紫綴洗,"('洗髮精',)","('洗髮精',)"
1566,韓國軟綿腮紅玫瑰,"('腮紅',)","('腮紅',)"
1567,水涓肌沁肌沐浴,"('沐浴乳',)","('沐浴乳',)"
1568,希臘優格藍莓口味,"('優格',)","('優格',)"
1569,黑糖精超濃厚精華面膜單枚,"('面膜',)","('面膜',)"
1570,淨垢洗衣膠囊,"('洗衣球',)","('洗衣球',)"
1571,美白化妝水,"('化妝水',)","('化妝水',)"
1572,專科完美保濕特潤面膜,"('面膜',)","('面膜',)"
1573,可愛企鵝護手霜,"('護手霜',)","('護手霜',)"
1574,整箱小邦尼熊抽取式衛生紙包箱,"('衛生紙',)","('衛生紙',)"
1575,鍋耳隔熱套入綠,"('鍋具',)","('鍋具',)"
1576,絕對完美粉底精粹,"('粉底液',)","('粉底液',)"
1577,蘋果香濕巾抽入,"('濕紙巾',)","('濕紙巾',)"
1578,東元型低藍光液晶顯示器視訊盒,"('液晶電視',)","('液晶電視',)"
1579,潘婷乳液修護滋養髮膜,"('護髮乳',)","('護髮乳',)"
1580,貝親滋潤型嬰兒泡沫沐浴乳補充包,"('沐浴乳',)","('沐浴乳',)"
1581,美國百工無線手持吸塵器年度美國新品同步上市,"('吸塵器',)","('吸塵器',)"
1582,大乾麵碗麵贈點,"('速食麵/泡麵',)","('速食麵/泡麵',)"
1583,麗仕植萃精油香氛沐浴露光澤透亮忍冬花,"('沐浴乳',)","('沐浴乳',)"
1584,資生堂護唇霜珍珠粉紅,"('護唇膏',)","('護唇膏',)"
1585,貝恩嬰兒保養柔濕巾抽單包,"('濕紙巾',)","('濕紙巾',)"
1586,亞馬遜白泥淨緻毛孔潔面乳,"('洗面乳',)","('洗面乳',)"
1587,吳獨麵藍藻米豆簽麻油薑香醬純素含醬,"('快煮麵/乾拌麵',)","('快煮麵/乾拌麵',)"
1588,森田極緻保濕原液面膜入,"('面膜',)","('面膜',)"
1589,準備蕃茄醬,"('常溫醬包',)","('常溫醬包',)"
1590,統一純喫茶紅茶,"('即飲紅茶',)","('即飲紅茶',)"
1591,森歐黎漾淨平衡茶樹勁涼蓬鬆抗屑洗髮精,"('洗髮精',)","('洗髮精',)"
1592,探拓戶外男款輕薄羽絨立領外套禦寒保暖透氣舒適白鴨絨,"('運動/機能服',)","('運動/機能服',)"
1593,甲油膠系列,"('甲油膠',)","('甲油膠',)"
1594,屏大非基改薄鹽油膏,"('醬油類',)","('醬油類',)"
1595,家福原味優格,"('優格',)","('優格',)"
1596,嘉士伯啤酒,"('啤酒',)","('啤酒',)"
1597,胡椒鹽包番茄醬,"('常溫醬包',)","('常溫醬包',)"
1598,國際牌吋液晶顯示器,"('液晶電視',)","('液晶電視',)"
1599,元氣指甲油,"('指甲油',)","('指甲油',)"
1600,卡式爐,"('瓦斯爐(攜帶式)',)","('瓦斯爐(攜帶式)',)"
1601,經典拉格啤酒,"('啤酒',)","('啤酒',)"
1602,單色眼影夜燦橘金,"('眼影盤',)","('眼影盤',)"
1603,平版,"('平板電腦',)","('平板電腦',)"
1604,番茄醬,"('常溫醬包',)","('常溫醬包',)"
1605,友情牌公升烘碗機,"('烘碗機',)","('烘碗機',)"
1606,雪柔廚房紙巾組捲串,"('廚房紙巾',)","('廚房紙巾',)"
1607,麒麟霸啤酒罐裝,"('啤酒',)","('啤酒',)"
1608,奇點戰狐電競鍵盤,"('鍵盤',)","('鍵盤',)"
1609,璞草園草精油洗髮露堅強髮根,"('洗髮精',)","('洗髮精',)"
1610,始祖鳥男刷毛圓領衫黑灰,"('運動/機能服',)","('運動/機能服',)"
1611,萊雅炭控油潔面乳,"('洗面乳',)","('洗面乳',)"
1612,丹麥進口系列新進化鑄造不沾鍋平底鍋,"('鍋具',)","('鍋具',)"
1613,裸光緊緻無痕眼霜新特惠,"('眼霜',)","('眼霜',)"
1614,珠光修容霜美滿堂,"('修容',)","('修容',)"
1615,安瓶保濕面膜,"('面膜',)","('面膜',)"
1616,味丹原汁爌肉麵,"('速食麵/泡麵',)","('速食麵/泡麵',)"
1617,男長褲,"('運動/機能服',)","('運動/機能服',)"
1618,員山農會養生豆奶,"('豆奶/豆乳',)","('豆奶/豆乳',)"
1619,面寬大容量透明家居萬用抽屜式五層收納櫃置物櫃附輪好移動,"('收納櫃',)","('收納櫃',)"
1620,大人速效晚安面膜枚入,"('面膜',)","('面膜',)"
1621,要胡椒鹽番茄醬,"('常溫醬包',)","('常溫醬包',)"
1622,區堤瑪露胎盤素身體乳液,"('身體乳液',)","('身體乳液',)"
1623,寶多福美食犬餐牛肉包包,"('狗乾糧罐頭',)","('狗乾糧罐頭',)"
1624,媚比琳極綻色絲絨霧光唇膏焦糖拿鐵,"('唇膏',)","('唇膏',)"
1625,桂格高鐵高鈣奶粉倍膠原蛋白罐,"('成人奶粉',)","('成人奶粉',)"
1626,媚比琳超持久霧感液態唇膏探險家,"('唇蜜',)","('唇蜜',)"
1627,愛引力保險套入精裝,"('保險套',)","('保險套',)"
1628,澳洲犬用牛奶幼犬用,"('狗乾糧罐頭',)","('狗乾糧罐頭',)"
1629,美國凡士林全效滋養身體潤膚乳液美日多多福利社,"('身體乳液',)","('身體乳液',)"
1630,踏墊,"('其他地墊(家用)',)","('其他地墊(家用)',)"
1631,流線聚焦眼線膠筆,"('眼線膠筆',)","('眼線膠筆',)"
1632,高效滲透護髮膜,"('護髮乳',)","('護髮乳',)"
1633,極細羽絲持色水眉筆支組,"('眉筆',)","('眉筆',)"
1634,魔力家髒吸吸手持式除蹣吸塵器有線插電款深層清潔組,"('吸塵器',)","('吸塵器',)"
1635,新花漾絲滑水漾洗髮精無矽靈,"('洗髮精',)","('洗髮精',)"
1636,羅技無線靜音滑鼠黑,"('滑鼠',)","('滑鼠',)"
1637,白蘭洗衣皂除菌除,"('洗衣皂',)","('洗衣皂',)"
1638,絲柔粉霧唇釉,"('唇釉',)","('唇釉',)"
1639,熊寶貝護衣精玫瑰,"('柔軟精',)","('柔軟精',)"
1640,妮維雅潤膚霜敏,"('面霜/乳霜',)","('面霜/乳霜',)"
1641,男越野跑鞋,"('運動鞋',)","('運動鞋',)"
1642,汪喵星球貓咪鮮肉無膠主食罐經典款低敏鴨肉入,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
1643,飛柔淨屑洗髮露,"('洗髮精',)","('洗髮精',)"
1644,葉酸日份粒,"('葉酸',)","('葉酸',)"
1645,農心炒碼麵入,"('速食麵/泡麵',)","('速食麵/泡麵',)"
1646,泰式辣椒醬,"('常溫醬包',)","('常溫醬包',)"
1647,吹風機桃專案機型號桃,"('吹風機',)","('吹風機',)"
1648,可果美番茄醬,"('常溫醬包',)","('常溫醬包',)"
1649,呂菖蒲洗髮精,"('洗髮精',)","('洗髮精',)"
1650,維力張君雅小妹妹五連點心麵,"('速食麵/泡麵',)","('速食麵/泡麵',)"
1651,嗨趴氣泡酒香檳口味,"('RTD調酒',)","('RTD調酒',)"
1652,濃密泡保濕洗面霜,"('洗面乳',)","('洗面乳',)"
1653,黑蝸牛深層洗面,"('洗面乳',)","('洗面乳',)"
1654,絲絨柔焦校色修容棒粉戀花束,"('修容',)","('修容',)"
1655,乾燥舒緩滋養牛奶乳霜薰衣草香,"('面霜/乳霜',)","('面霜/乳霜',)"
1656,陽明山下智久舒酸定速效修護抗敏牙膏,"('成人牙膏',)","('成人牙膏',)"
1657,大家源不鏽鋼熱水瓶,"('電熱水瓶',)","('電熱水瓶',)"
1658,御茶園特上紅茶入,"('即飲紅茶',)","('即飲紅茶',)"
1659,芙莉絲衛生套薄,"('保險套',)","('保險套',)"
1660,黑人抗敏感系列牙膏蝦皮現貨,"('成人牙膏',)","('成人牙膏',)"
1661,韓國沙龍級蠶絲蛋白蜂蜜洗髮精潤絲精,"('潤髮乳',)","('潤髮乳',)"
1662,森田藥粧保濕精華面膜入,"('面膜',)","('面膜',)"
1663,艾森絲摩登色眼影盤經,"('眼影盤',)","('眼影盤',)"
1664,美好生活四層收納櫃,"('收納櫃',)","('收納櫃',)"
1665,舒潔淨濕巾,"('濕紙巾',)","('濕紙巾',)"
1666,堤瑪露白麝香彈力修護洗髮乳,"('洗髮精',)","('洗髮精',)"
1667,大醇豆原味豆漿,"('豆漿/黑豆漿',)","('豆漿/黑豆漿',)"
1668,贈品極緻淨白牙膏口味隨機,"('成人牙膏',)","('成人牙膏',)"
1669,澎澎洗面乳綠茶,"('洗面乳',)","('洗面乳',)"
1670,純水瓶箱瓶箱,"('礦泉水',)","('礦泉水',)"
1671,蘭華小舖珂潤潤浸保濕洗顏慕絲補充包旅行罐,"('洗面乳',)","('洗面乳',)"
1672,玩美持色指甲油,"('指甲油',)","('指甲油',)"
1673,代收代付油光清透粧前乳限定組,"('妝前乳/隔離霜',)","('妝前乳/隔離霜',)"
1674,潘婷淨化極潤洗髮精護髮精華素清爽蓬鬆順澤六款任選,"('洗髮精',)","('洗髮精',)"
1675,澡享沐浴乳補充包白茶,"('沐浴乳',)","('沐浴乳',)"
1676,金蘭原味醬油,"('醬油類',)","('醬油類',)"
1677,蒲公英環保抽衛生紙,"('衛生紙',)","('衛生紙',)"
1678,七星天藍硬盒,"('菸',)","('菸',)"
1679,美茜兒遮瑕膏,"('遮瑕膏',)","('遮瑕膏',)"
1680,全身抗痕防護乳,"('妝前乳/隔離霜',)","('妝前乳/隔離霜',)"
1681,長袖上衣男,"('運動/機能服',)","('運動/機能服',)"
1682,艾翠斯修護型護手霜,"('護手霜',)","('護手霜',)"
1683,多喝水,"('礦泉水',)","('礦泉水',)"
1684,造型眉彩,"('眉粉',)","('眉粉',)"
1685,代收代付小獅王辛巴蘿蔓晶鑽標準玻璃小奶瓶,"('奶瓶',)","('奶瓶',)"
1686,正負零電池式無線吸塵器米白色,"('吸塵器',)","('吸塵器',)"
1687,持久引力指甲油凡爾賽粉,"('指甲油',)","('指甲油',)"
1688,男士綠咖啡活力洗面露,"('洗面乳',)","('洗面乳',)"
1689,松木時尚不鏽鋼快煮壺透明水位視窗,"('快煮壺',)","('快煮壺',)"
1690,韓國一房一廳印地安帳白色露營帳篷家庭帳五人大型網,"('RTD調酒',)",()
1691,淨嫩沐浴乳浪漫櫻花香,"('沐浴乳',)","('沐浴乳',)"
1692,單品咖啡哥比亞,"('即飲咖啡',)","('即飲咖啡',)"
1693,樂活玩家五格收納櫃置物櫃組合櫃直立橫躺皆可組合收納好幫手收納櫃組合櫃置物櫃,"('收納櫃',)","('收納櫃',)"
1694,妮維雅眼部卸妝液,"('眼唇卸妝',)","('眼唇卸妝',)"
1695,維他命日份粒,"('維他命C',)",()
1696,外送統一陽光無加糖黑豆漿,"('豆漿/黑豆漿',)","('豆漿/黑豆漿',)"
1697,當日出貨薑黃顆美國原裝原封,"('薑黃',)","('薑黃',)"
1698,美吾髮白茶茉莉馨香洗髮露,"('洗髮精',)","('洗髮精',)"
1699,耐吉休閒鞋男鞋輕量透氣舒適避震穿搭推薦黑銀,"('運動鞋',)","('運動鞋',)"
1700,健身大師新一代手握心跳智慧程控電動跑步機,"('跑步機',)","('跑步機',)"
1701,舒潔喀什米爾四層抽取衛生紙抽包串箱,"('衛生紙',)","('衛生紙',)"
1702,伊瑪多功能料理鍋,"('鍋具',)","('鍋具',)"
1703,舒潔淨汗爽身濕巾抽包抽包,"('濕紙巾',)","('濕紙巾',)"
1704,團媽專案康朵香水洗衣精,"('洗衣精',)","('洗衣精',)"
1705,維生素錠,"('維他命D',)","('維他命C',)"
1706,復古休閒鞋女鞋黑色楦運動休閒潮流時尚,"('運動鞋',)","('運動鞋',)"
1707,凡士林低敏乳液,"('臉部乳液',)","('臉部乳液',)"
1708,潘婷分鐘奇蹟護髮精華款任選水潤染燙乳液多效,"('護髮乳',)","('護髮乳',)"
1709,薏仁清潤化妝水入,"('化妝水',)","('化妝水',)"
1710,義大利亞莉佳氣泡礦泉水,"('氣泡水',)","('氣泡水',)"
1711,水晶鮮蝦餃,"('火鍋料',)","('火鍋料',)"
1712,粉彩陶瓷不沾單柄湯鍋兩色可選粉紅色系,"('鍋具',)","('鍋具',)"
1713,睫老闆超防水眼線膠筆深黑色,"('眼線膠筆',)","('眼線膠筆',)"
1714,原點全貓配方雞肉凍乾公斤貓飼料,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
1715,歐克威爾清新牙膏美國專利敏感性牙齒專用,"('成人牙膏',)","('成人牙膏',)"
1716,寶亨號,"('菸',)","('菸',)"
1717,瑞典竹製軟毛牙刷入超值組,"('成人牙刷',)","('成人牙刷',)"
1718,艾杜紗魔束捲翹睫毛膏薰衣草黑康是美,"('睫毛膏',)","('睫毛膏',)"
1719,全紅牛蕃茄,"('維他命飲料',)","('常溫醬包',)"
1720,尊爵白金香菸國際包毫克,"('菸',)","('菸',)"
1721,水平衡超抗痘雙效洗面乳深層抗痘深層抗痘,"('洗面乳',)","('洗面乳',)"
1722,義大利高峰天然礦泉水,"('礦泉水',)","('礦泉水',)"
1723,預小熊維尼系列迷你隨身吸塵器,"('吸塵器',)","('吸塵器',)"
1724,歐樂兒童迪士尼牙刷歲,"('兒童牙刷',)","('兒童牙刷',)"
1725,理膚寶水多容安舒緩保濕化妝水保濕舒緩,"('化妝水',)","('化妝水',)"
1726,佐登龍血求麗精油潤髮乳,"('潤髮乳',)","('潤髮乳',)"
1727,立體三角包錫蘭紅茶包入,"('即飲紅茶',)","('即飲紅茶',)"
1728,美咖油眼剋星抗水眼線液,"('眼線液',)","('眼線液',)"
1729,黃正宜低卡餐甜湯圓,"('湯圓',)","('湯圓',)"
1730,百吉牌平版衛生紙抽包串箱,"('衛生紙',)","('衛生紙',)"
1731,寶瀅洗衣膠囊入,"('洗衣球',)","('洗衣球',)"
1732,光泉牛乳巧克力瓶瓶,"('調味牛乳',)","('調味牛乳',)"
1733,西雅圖貝瑞斯塔無糖二合一咖,"('即溶咖啡',)","('即溶咖啡',)"
1734,海尼根零酒精,"('啤酒',)","('啤酒',)"
1735,艾惟諾洋甘菊保濕乳,"('臉部乳液',)","('臉部乳液',)"
1736,多芬沐浴薰衣草,"('沐浴乳',)","('沐浴乳',)"
1737,官方旗艦館運動外套男,"('運動/機能服',)","('運動/機能服',)"
1738,倍力康貓罐一箱共罐裝入混搭出貨不挑款挑嘴貓專用鮮白肉貓罐,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
1739,泰國椰奶,"('椰奶',)","('椰奶',)"
1740,舊街場二合一白咖啡奶精,"('即溶咖啡',)","('即溶咖啡',)"
1741,滿漢大餐珍味牛肉包麵,"('速食麵/泡麵',)","('速食麵/泡麵',)"
1742,美學地墊露營中毒本鋪地墊野餐墊防水野餐墊野餐墊地墊地布露營地墊,"('野餐墊',)","('野餐墊',)"
1743,大師兄銷魂麵舖小麥購物出貨台灣現貨銷魂拌麵花生麻醬拌麵細麵粗麵泡麵乾麵銷魂麵快煮,"('快煮麵/乾拌麵',)","('快煮麵/乾拌麵',)"
1744,法國皇家理想體態成貓專用飼料,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
1745,媚比琳新一代宛若真眉柔霧塑型眉膠筆楓糖棕,"('眉膠筆',)","('眉膠筆',)"
1746,國際牌奈米水離子吹風機,"('吹風機',)","('吹風機',)"
1747,茶月有機黑豆漿無糖,"('豆漿/黑豆漿',)","('豆漿/黑豆漿',)"
1748,我的天鵝絨唇膏,"('唇膏',)","('唇膏',)"
1749,屈臣氏抗菌潔淨柔濕巾片,"('濕紙巾',)","('濕紙巾',)"
1750,牛頭牌紅蔥醬,"('常溫醬包',)","('常溫醬包',)"
1751,蘇菲指入式棉條量多型,"('棉條',)","('棉條',)"
1752,皂福輕時代超濃縮洗衣膠囊顆愛買,"('洗衣球',)","('洗衣球',)"
1753,代收代付南紡購物中心永用吋植絨鹵素燈定時電暖器,"('電暖器',)","('電暖器',)"
1754,一匙靈制菌超濃縮洗衣精補,"('洗衣精',)","('洗衣精',)"
1755,動力戰狐機械電競鍵盤鐵灰,"('鍵盤',)","('鍵盤',)"
1756,愛生片維他命鈣入食品級,"('維他命C',)",()
1757,香奈兒珍珠光感輕透光防曬粉餅,"('粉餅',)","('粉餅',)"
1758,曼思水性可剝指甲油蜜桃粉,"('指甲油',)","('指甲油',)"
1759,正康黑豆奶,"('豆奶/豆乳',)","('豆奶/豆乳',)"
1760,森田藥粧極淨保濕卸妝棉片盒保濕卸妝棉蘆薈特價臉部專用臉部保濕全臉不緊繃,"('卸妝棉',)","('卸妝棉',)"
1761,象印真空保溫熱水瓶廠商直送現貨,"('電熱水瓶',)","('電熱水瓶',)"
1762,童鞋運動鞋女鞋白粉藍勾大童,"('運動鞋',)","('運動鞋',)"
1763,泰生活選物柔軟硅藻土地墊入組淺灰色淺灰色,"('珪藻土地墊',)","('珪藻土地墊',)"
1764,適樂膚長效潤澤修護霜獨家特談組長效潤澤,"('面霜/乳霜',)","('面霜/乳霜',)"
1765,光燦叢林指甲油,"('指甲油',)","('指甲油',)"
1766,雅詩蘭黛年輕肌密無敵霜入組,"('面霜/乳霜',)","('面霜/乳霜',)"
1767,海霸王甲天下花枝餃粒包,"('火鍋料',)","('火鍋料',)"
1768,奧藍多天然無穀貓鮮糧阿拉斯加鱈魚羊肉,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
1769,黑橋牌一口小香腸蒜味,"('中式香腸',)","('中式香腸',)"
1770,吋八核手機絢幻黑,"('智慧型手機',)","('智慧型手機',)"
1771,,"('智慧型手機',)",()
1772,澎澎香浴乳漾采緊,"('沐浴乳',)","('沐浴乳',)"
1773,清淨海洗衣精補,"('洗衣精',)","('洗衣精',)"
1774,豐潤保濕乳液,"('臉部乳液',)","('臉部乳液',)"
1775,統欣生技金盞花葉黃素粒裝,"('葉黃素',)","('葉黃素',)"
1776,茶裏王日式無糖綠茶,"('即飲無糖茶',)","('即飲無糖茶',)"
1777,醫岡本衛生套浪漫型,"('保險套',)","('保險套',)"
1778,兒童溫和防曬乳,"('防曬',)","('防曬',)"
1779,元氣指甲油,"('指甲油',)","('指甲油',)"
1780,友情紫外線烘碗機鏡面外殼公升四層,"('烘碗機',)","('烘碗機',)"
1781,台灣現貨運動鞋清潔濕巾擦鞋濕巾鞋類清潔小白鞋球鞋運動鞋去汙濕巾鞋面清潔擦鞋神器擦鞋巾,"('濕紙巾',)","('濕紙巾',)"
1782,原裝進口蓄暖機能女裝,"('運動/機能服',)","('運動/機能服',)"
1783,馬牌麻將墊張,"('其他地墊(家用)',)",()
1784,福樂自然零優酪原味杯組,"('優格',)","('優格',)"
1785,禾聯智慧溫控快煮壺,"('快煮壺',)","('快煮壺',)"
1786,絲蘊深層修護洗髮乳,"('洗髮精',)","('洗髮精',)"
1787,大同人份全不鏽鋼電鍋曜石黑,"('電鍋',)","('電鍋',)"
1788,禾聯度電熱絲電暖器,"('電暖器',)","('電暖器',)"
1789,黑人專業護齦牙膏抗敏感配方,"('成人牙膏',)","('成人牙膏',)"
1790,給我胡椒鹽跟番茄醬,"('常溫醬包',)","('常溫醬包',)"
1791,森田藥粧高保濕菁華露面膜單片特濃保濕強力保濕預防老化鎖水現貨特價菁華露面膜保濕面膜維生素,"('面膜',)","('面膜',)"
1792,就是不暈柔霜眼膠筆沉靜藍買一送一,"('眼線膠筆',)","('眼線膠筆',)"
1793,衣物芳香豆限定組清晨草木,"('芳香豆',)","('芳香豆',)"
1794,質立希臘式優格蜂蜜,"('優格',)","('優格',)"
1795,輕感淨潤潤髮乳,"('潤髮乳',)","('潤髮乳',)"
1796,麥維爾大燕麥片,"('麥片穀類',)","('麥片穀類',)"
1797,手工嚴選濃縮番茄泥,"('常溫醬包',)","('常溫醬包',)"
1798,味丹竹碳礦泉水,"('礦泉水',)","('礦泉水',)"
1799,艾杜紗護唇精華液蛋黃,"('護唇精華',)","('護唇精華',)"
1800,三多膠原蛋白愛買,"('膠原蛋白',)","('膠原蛋白',)"
1801,潤浸保濕乳液人氣分享組,"('臉部乳液',)","('臉部乳液',)"
1802,領券再折我最便宜冷凍宅配免運農純鄉滴雞精入入入黑蒜蛤蜊滴雞精入盒,"('滴雞精',)","('滴雞精',)"
1803,男側長褲靛藍,"('運動/機能服',)","('運動/機能服',)"
1804,海爾迷你電暖器粉黑入,"('電暖器',)","('電暖器',)"
1805,箱購免運五月花頂級蓬厚柔三層抽取衛生紙抽包玫瑰果油比漾廣場,"('衛生紙',)","('衛生紙',)"
1806,安怡長青高鈣低脂奶粉,"('成人奶粉',)","('成人奶粉',)"
1807,施華蔻新極緻修護髮膜,"('護髮乳',)","('護髮乳',)"
1808,肌研極潤保濕化妝水清爽型,"('化妝水',)","('化妝水',)"
1809,羅技鵝卵石雙模無線滑鼠白,"('滑鼠',)","('滑鼠',)"
1810,海藍寶石擴香瓶官方直營公司貨蝦皮現貨,"('擴香瓶',)","('擴香瓶',)"
1811,法國皇家敏感膚質成貓專用飼料,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
1812,媚點極上粉嫩保濕粉底霜柔膚色,"('粉底液',)","('粉底液',)"
1813,德國戶外趣德國原創男加厚經典內絨禦寒防風杜邦防潑水輕量軟殼褲海軍藍,"('運動/機能服',)","('運動/機能服',)"
1814,舒潔清新綠茶拉拉抽取衛生紙抽入串箱,"('衛生紙',)","('衛生紙',)"
1815,凡士林專業低敏修護乳液,"('臉部乳液',)","('臉部乳液',)"
1816,吸塵器鋰電池無線吸塵器充電鋰電池,"('吸塵器',)","('吸塵器',)"
1817,桂冠森永牛奶糖餡湯圓,"('湯圓',)","('湯圓',)"
1818,代收代付台灣現貨免運附發票日本膠原蛋白日粒維他命群群綜,"('維他命B+C', '膠原蛋白')","('維他命B',)"
1819,雅男士極究進化修護精華,"('精華液',)","('精華液',)"
1820,花漾美姬美眉持色柔霧眉筆自然棕,"('眉筆',)","('眉筆',)"
1821,公斤蒸氣洗脫烘滾筒洗衣機型號,"('洗衣機',)","('洗衣機',)"
1822,等級加絨加厚三防衝鋒褲男女款外送員必備防風防潑水防,"('運動/機能服',)","('運動/機能服',)"
1823,兩包番茄醬兩包胡,"('常溫醬包',)","('常溫醬包',)"
1824,新尊爵白金纖細,"('菸',)","('菸',)"
1825,卡蜜兒德國原裝進口熱銷經典不敗護手組經典洋甘菊蘆薈滋潤無香柔敏,"('護手霜',)","('護手霜',)"
1826,怡麗絲爾淨白系列洗面乳徹底洗淨肌膚與導致暗沉的角質,"('洗面乳',)","('洗面乳',)"
1827,尚朋堂石英管電暖器,"('電暖器',)","('電暖器',)"
1828,驅黑淨白斑點神隱潤色精華,"('精華液',)","('精華液',)"
1829,官方旗艦館經典鞋女,"('運動鞋',)","('運動鞋',)"
1830,滋潤卸妝凝膠,"('卸妝凝膠',)","('卸妝凝膠',)"
1831,皇家寶馬香菸號,"('菸',)","('菸',)"
1832,買純欖護唇膏,"('護唇膏',)","('護唇膏',)"
1833,東風極柔層抽取衛生紙抽包串網,"('衛生紙',)","('衛生紙',)"
1834,義美低糖黑豆奶,"('豆漿/黑豆漿',)","('豆漿/黑豆漿',)"
1835,寶多福美食犬餐雞肉口味包包,"('狗乾糧罐頭',)","('狗乾糧罐頭',)"
1836,沛奇海味饗宴貓餐罐號鮪魚吻仔魚湯罐,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
1837,顧可飛葉酸錠錠瓶每日微克體貼呵護媽咪迎接幸福寶貝現貨蝦皮,"('葉酸',)","('葉酸',)"
1838,迪奧藍星唇膏,"('唇膏',)","('唇膏',)"
1839,極致抗寒厚絨三穿式登山衝鋒外套三色可選,"('運動/機能服',)","('運動/機能服',)"
1840,台灣現貨小米米家順造小米有品隨手吸塵器無線家用小型大吸力大功率手持車載吸塵器,"('吸塵器',)","('吸塵器',)"
1841,上山採藥日光金萱頭皮洗髮露,"('洗髮精',)","('洗髮精',)"
1842,家樂氏纖穀脆蔓越莓杏仁穀物脆早餐麥片穀片,"('麥片穀類',)","('麥片穀類',)"
1843,雲絲頓銀支,"('菸',)","('菸',)"
1844,雀巢二合一義式拿鐵,"('即溶咖啡',)","('即溶咖啡',)"
1845,白蘭含熊寶貝馨香精華大自然馨香洗衣精加量補充包入,"('洗衣精',)","('洗衣精',)"
1846,法國保濕平衡潔膚水混合肌,"('卸妝水',)","('卸妝水',)"
1847,東文馬卡龍中油筆微醺青,"('RTD調酒',)",()
1848,貓啾嚕肉泥鮪魚入,"('貓零食',)","('貓零食',)"
1849,得意廚房紙巾張入,"('廚房紙巾',)","('廚房紙巾',)"
1850,蘇菲棉條量多加強型入裝屈臣氏,"('棉條',)","('棉條',)"
1851,純水瓶瓶,"('礦泉水',)","('礦泉水',)"
1852,潤波沐浴慕絲補充包全脂牛奶嫩白,"('沐浴乳',)","('沐浴乳',)"
1853,髮植人清新水漾鼠尾海鹽洗髮精,"('洗髮精',)","('洗髮精',)"
1854,專櫃小樣現貨電子發票雅詩蘭黛年輕金三角保養小樣組微分子肌底原生露特潤超導修護露年輕肌密無敵霜,"('面霜/乳霜',)","('面霜/乳霜',)"
1855,牙刷入,"('成人牙刷',)","('成人牙刷',)"
1856,微舒打葡萄微汽泡果汁,"('碳酸飲料',)","('碳酸飲料',)"
1857,宅配入玄武酒廠星空酒系列調酒,"('RTD調酒',)","('RTD調酒',)"
1858,媚點持久液體眼線筆極細,"('眼線筆',)","('眼線筆',)"
1859,味味一品麻油豬肉麵入,"('速食麵/泡麵',)","('速食麵/泡麵',)"
1860,免運兩盒杜蕾斯超薄型入裝衛生套安全套保險套杜雷斯,"('保險套',)","('保險套',)"
1861,遊遍天下女款防水防風透濕刷毛褲雪褲,"('運動/機能服',)","('運動/機能服',)"
1862,洗顏專科超微米保水潔顏凝露,"('洗面乳',)","('洗面乳',)"
1863,展夜幕綠色型號,"('智慧型手機',)","('智慧型手機',)"
1864,寶路牛肉罐,"('狗乾糧罐頭',)","('狗乾糧罐頭',)"
1865,農心頂級辛拉麵,"('速食麵/泡麵',)","('速食麵/泡麵',)"
1866,達姆檸檬啤酒,"('啤酒',)","('啤酒',)"
1867,黑豆桑紅金醬油,"('醬油類',)","('醬油類',)"
1868,缺貨優兒康金盞花萃取含葉黃素粉瓶,"('葉黃素',)","('葉黃素',)"
1869,聲寶陶瓷電暖器網,"('電暖器',)","('電暖器',)"
1870,耀花翠蜜潤沐浴乳,"('沐浴乳',)","('沐浴乳',)"
1871,耐吉卡其休閒鞋運動鞋男款,"('運動鞋',)","('運動鞋',)"
1872,極潤緞光唇膏橙香冰茶,"('唇膏',)","('唇膏',)"
1873,醫岡本衛生套入,"('保險套',)","('保險套',)"
1874,醫岡本衛生套入,"('保險套',)","('保險套',)"
1875,代收代付壁爐式陶瓷電暖器,"('電暖器',)","('電暖器',)"
1876,大膽持色絲絨潤澤唇釉狂野玫瑰,"('唇釉',)","('唇釉',)"
1877,克奈圃杏花複方身體養護精油,"('精油',)","('精油',)"
1878,凱婷零瑕肌密電修級遮瑕盤,"('遮瑕盤',)","('遮瑕盤',)"
1879,韓國膠原蛋白精華面膜單片小三美日,"('面膜',)","('面膜',)"
