,name,momo,shopee,human,new_brands
18745,沛比兒超效潔牙骨1000g2桶葉綠素風味寵物零食狗零食潔牙骨,0,Bone Plus,0,Bone Plus
18758,sofina漾緁輕妝綺肌長效粉餅進化版oc01,SOFINA 蘇菲娜,0,0,SOFINA 蘇菲娜
18761,seagate希捷barracudaq5新梭魚500gm22280pcie固態硬碟zp500cv3a001,SEAGATE 希捷,0,0,SEAGATE 希捷
18770,幫寶適褲型超薄拉拉褲xxl21片箱6,幫寶適,0,0,幫寶適
18785,悠活原力yoyo敏立清益生菌,悠活原力,0,0,悠活原力
18816,2021最新版genki日本王子尿布麵包超人日本境內版褲型mlxlxxl,nepia 王子,0,0,nepia 王子
18833,316綠貝勁跑不鏽鋼真空保溫杯950ml,0,MiiR,0,MiiR
18839,tna悠遊食補系列喵喵待補手作零食30克護眼枸杞葉黃素好口氣蕎麥綠茶爆毛鱉蛋粉貓零食,0,0,tna喵喵待補,tna喵喵待補
18841,huggies好奇純水嬰兒濕巾一般型100抽x18包箱,HUGGIES 好奇,0,0,HUGGIES 好奇
18846,carlschmidtsohn德國卡爾32l氣炸鍋gla320,0,Carl Schmidt Sohn,0,Carl Schmidt Sohn
18861,hanlinmpfh013電顯單刀迷你電動刮鬍刀,HANLIN,0,0,HANLIN
18866,沒有牛燕麥奶植物,里仁,0,0,里仁
18886,霓淨思胜肽撫紋賦活眼霜10ml,Neogence 霓淨思,0,0,Neogence 霓淨思
18898,悠活原力高濃縮蔓越莓私密益生菌植物膠囊30顆盒,0,YOHOPOWER 悠活原力,0,YOHOPOWER 悠活原力
18901,holin曼巴咖啡鑽石型濾掛咖啡10包盒接單新鮮製作專業一品世界精品深焙,0,HOLIN COFFEE 歐臨咖啡,0,HOLIN COFFEE 歐臨咖啡
18925,免運chwanme萃莞媄植萃深層保濕舒緩洗面乳16ml植萃深層保濕舒緩化妝水30ml官方旗艦店,Dr.Douxi 朵璽,0,0,Dr.Douxi 朵璽
18933,rofancy洛帆晞香氛蠟燭50g20種香味任選純手工製作,Rofancy 洛帆晞,0,0,Rofancy 洛帆晞
18938,白金級黑鑽松露奇蹟修護亮眼精萃,Estee Lauder 雅詩蘭黛,0,0,Estee Lauder 雅詩蘭黛
18939,pair沛醫亞淨痘調理洗面乳80g,LION 獅王,0,0,LION 獅王
18943,s蘭德卡魯瓦濾掛咖啡,LODOJA 裸豆家,0,0,LODOJA 裸豆家
18945,杜蕾斯熱愛裝衛生套8入,Durex 杜蕾斯,0,0,Durex 杜蕾斯
18948,haagendazs哈根達斯momo獨賣微醺特調迷你杯24入組12種口味大集合,Haagen-Dazs 哈根達斯,0,0,Haagen-Dazs 哈根達斯
18954,eaoron蜂膠面膜,Eaoron,0,0,Eaoron
18961,awana經典彈跳保溫瓶500ml,AWANA,0,0,AWANA
18966,santeco保溫瓶組,Santeco,0,0,Santeco
18982,和田順順道燉奶茶500ml,0,Max Tea,0,Max Tea
18992,鑫耀生技panda康敏一生益生菌30包入,鑫耀生技,0,0,鑫耀生技
18994,twelvesouthhoverbarduo可調式支架foripad閱讀器,Twelve South,0,0,Twelve South
19001,n012143613預購台灣流浪貓關懷協會x愛心飼料認購捐好糧黑貓侍飼料1kg購買者本,Catpool 貓侍,0,0,Catpool 貓侍
19002,翔仔居家色織雙層紗床包枕套組酪梨綠多尺寸任選上選長絨棉系列韓系簡約,翔仔居家,0,0,翔仔居家
19023,德國百靈新三鋒系列3000s電鬍刀型號3000s,BRAUN 百靈,0,0,BRAUN 百靈
19026,oralb專業牙齦護理牙膏溫和亮白90g,Oral-B 歐樂B,0,0,Oral-B 歐樂B
19034,大王goon輕薄舒爽黏貼型紙尿布xl46片x4串箱,日本大王,0,0,日本大王
19036,goon大王紙尿布境內版肌快適系列褲型xxl28片包,日本大王,0,0,日本大王
19041,卓瑩遠紅外線非動力式治療床墊未滅菌,卓瑩,0,0,卓瑩
19060,毛寶衣物柔軟精防霉日光浴3200ml桶,毛寶,0,0,毛寶
19066,c099600495missdior花漾迪奧香體蜜粉,0,0,迪奧dior,迪奧dior
19088,innisfree繽紛大地指甲油realcolornail官方旗艦店悅詩風吟,0,innisfree 悅詩風吟,0,innisfree 悅詩風吟
19093,安怡濃醇香低脂奶粉,Anlene 安怡,0,0,Anlene 安怡
19094,米塔肌肉筋膜震動按摩槍4種按摩頭mtgu05,0,funcare 船井,0,funcare 船井
19100,貝納頌三合一拿鐵25入,貝納頌,0,0,貝納頌
19109,24hr台灣出貨德國百靈歐樂bd100oralb博朗電動牙刷旋轉立體d12電動牙刷美齒神器,Oral-B 歐樂B,0,0,Oral-B 歐樂B
19113,喵樂mdaryn喵樂餐包鮮味煮廚貓餐包55g雞皇玉子海鮮雙享鮪纖金湯鯖燉鮮蝦餐包優選寵物,0,M'DARYN 喵樂,0,M'DARYN 喵樂
19120,拭拭樂天然保濕嬰兒柔濕巾90抽,拭拭樂,0,0,拭拭樂
19132,限各倉辦公室兌換許慶良鮮乳瓶商品券,0,COACH 蔻馳,0,COACH 蔻馳
19138,韓國昌信生活skylock密扣天窗1號保鮮盒1000mlx1,韓國昌信生活,0,0,韓國昌信生活
19142,康生concern新第四代4d摩力寶貝溫熱揉捏按摩枕con1688,Concern 康生,0,0,Concern 康生
19166,英國airsprunghush三線珍珠紗乳膠記憶膠蜂巢獨立筒床墊麵包床雙人加大6尺,Airsprung 夜思寶,0,0,Airsprung 夜思寶
19169,2021新款上市blackgears黑設ht6trio微型低功率電暖器,0,0,blackgears黑設,blackgears黑設
19176,樸樂烘焙材料法國cacaobarry可可巴芮100純苦巧克力可可鈕扣分裝適合生酮,0,0,cacaobarry可可巴芮,cacaobarry可可巴芮
19184,evian天然礦泉水330ml24入,Elisabethen 愛麗莎,0,0,Elisabethen 愛麗莎
19191,firstaidbeauty美國fabsos燕麥保濕霜強效修護保濕慕斯霜567g急速保濕乳霜面霜,FIRST AID BEAUTY,0,0,FIRST AID BEAUTY
19203,yokozuna316不鏽鋼手提陶瓷保溫瓶1000ml陶瓷易潔層,YOKOZUNA,0,0,YOKOZUNA
19228,銀離子防螨抗菌床包台灣製單人雙人加大特大床包組床單床包被套組四件組三件組兩用被床包亞汀享受晨日,ISHUR 伊舒爾,0,0,ISHUR 伊舒爾
19232,亞培特特級乾狗糧羊肉口味9kg9kgkbb0013,KITTIWAKE 吉諦威,0,0,KITTIWAKE 吉諦威
19238,藤原傢俬3m防潑水3d透氣蜂巢式三線獨立筒床墊6尺雙人加大,藤原傢俬,0,0,藤原傢俬
19248,zott德國原味經典優格,0,0,zott,zott
19253,好奇裸感紙尿褲l38片箱3,HUGGIES 好奇,0,0,HUGGIES 好奇
19257,嵐楓居家環保色系高彈力超柔軟彈性沙發套3人座,巴芙洛,0,0,巴芙洛
19261,毛寶衣物柔軟精溫暖花香補充包1900g包,毛寶,0,0,毛寶
19263,595727妙而舒頂級舒爽紙尿褲xl60片,妙而舒,0,0,妙而舒
19267,buho布歐天然嚴選純棉6x7尺雙人被套多款任選,BUHO 布歐,0,0,BUHO 布歐
19270,嘉莉美妝紋繡美甲材料solone持久美型旋轉眉筆3色可選,0,ONE,0,ONE
19272,a一度贊爌肉麵,維力,0,0,維力
19283,愛康抗菌衛生棉夜用型28cm7片,0,Mdmmd.,0,Mdmmd.
19284,蒂妃摩洛哥堅果滋潤護手霜,Difeel 蒂妃,0,0,Difeel 蒂妃
19287,保證真貨大量可批skii活膚卸妝蜜80克7折,0,COACH 蔻馳,0,COACH 蔻馳
19293,毛寶全效抗菌柔軟洗衣精3500gx4入箱,毛寶,0,0,毛寶
19297,杜蕾斯輕薄幻隱裝衛生套3入裝,Durex 杜蕾斯,0,0,Durex 杜蕾斯
19309,毛寶衣物柔軟精補充包防霉日光浴1900g包,毛寶,0,0,毛寶
19319,mavoly氣壓式拉伸頸椎手壓充氣牽引按摩枕c0354,0,OSIM,0,OSIM
19337,kemeiru眼影刷a322,BonTon,0,0,BonTon
19350,日本fafafree無香精濃縮洗衣精500g嬰兒洗衣精手洗精,NSFAFA,0,0,NSFAFA
19352,anlene安怡安怡保護力長青高鈣低脂奶粉15kgx2罐,Anlene 安怡,0,0,Anlene 安怡
19370,kingxbariphone11i11施華洛世奇水鑽手機保護殼套花季系列梔子花,0,SWAROVSKI 施華洛世奇,0,SWAROVSKI 施華洛世奇
19377,妙而舒尿布柔點乾爽xl28片箱6,妙而舒,0,0,妙而舒
19383,pocox3pro667吋智慧型手機12個月保固poco官方旗艦店,小米,0,0,小米
19402,白蘭超濃縮洗衣精19含熊洗衣精184x酵素洗衣精17贈衛生紙6包熊寶貝茶樹派樣x5包,白蘭,0,0,白蘭
19410,trilogy奇境尖吻鱸鮪魚羊肺凍乾無穀全貓糧300g凍乾飼料,TRILOGY 奇境,0,0,TRILOGY 奇境
19425,日本固齒佳酵素牙膏柑橘薄荷130g130g,LION 獅王,0,0,LION 獅王
19438,360度原力按摩椅,輝葉,0,0,輝葉
19443,paraquecledepeaubeautecpb肌膚之鑰光采無瑕妝前凝霜37ml光之緋紅新年限量,cle de peau 肌膚之鑰,0,0,cle de peau 肌膚之鑰
19457,petroyal新鮮達人低鹽天然小魚乾量販包380g鮮達人重量級貓零食丁香魚乾優豆低鹽小魚乾,0,0,petroyal,petroyal
19458,arvohome丹麥極簡主義雙色床包被套組舒適裸睡素面日系素色雙人加大4件組美式工業風素色床單,0,DESMOND 岱思夢,0,DESMOND 岱思夢
19461,毛起來阿姆阿姆潔牙棒南非國寶茶淨臭13入裝,毛起來,0,0,毛起來
19476,durex杜蕾斯薄型裝保險套12入10盒,Durex 杜蕾斯,0,0,Durex 杜蕾斯
19490,skii肌活能量眼霜,SK-II,0,0,SK-II
19496,jumendi水鑚之星米台灣製防蹣抗菌被套床包組雙人,HOLA,0,0,HOLA
19500,白蘭洗衣精陽光馨香補充包16kg,白蘭,0,0,白蘭
19501,durex杜蕾斯綜合裝保險套6片盒超薄x2螺紋x2凸點x2現貨蝦皮直送,Durex 杜蕾斯,0,0,Durex 杜蕾斯
19506,伴桌美國cambro保鮮盆1213141619透明調理盆保鮮盒,fujidinos,0,0,fujidinos
19510,貝納頌三合一經典曼特寧4盒組25入盒共100入,貝納頌,0,0,貝納頌
19513,限總管理處兌換許慶良鮮乳瓶商品券,0,COACH 蔻馳,0,COACH 蔻馳
19521,好奇純水嬰兒濕巾迪士尼限定版加厚型70抽,HUGGIES 好奇,0,0,HUGGIES 好奇
19527,medicube積雪草補水面霜,VT CICA,0,0,VT CICA
19541,lion獅王nonio牙刷經典瞬潔細柔按摩1入顏色隨機,LION 獅王,0,0,LION 獅王
19561,roberttimms義式即溶咖啡100g,UCC,0,0,UCC
19626,悠活原力綜合維生素b群緩釋膜衣錠x1盒60粒瓶,悠活原力,0,0,悠活原力
19627,藤澤商事fujisawa天然蟹肉絲400g大包裝犬貓皆可食用,0,0,藤澤商事fujisawa,藤澤商事fujisawa
19645,王子麵包超人拉拉褲m583包箱,0,0,王子nepia,王子nepia
19646,huggies好奇雲柔乾爽紙尿褲m256片,HUGGIES 好奇,0,0,HUGGIES 好奇
19647,團高加倍潔淨牙刷10,Colgate 高露潔,0,0,Colgate 高露潔
19658,sprite雪碧易開罐250mlx24入箱,可口可樂,0,0,可口可樂
19666,幫寶適清新幫紙尿褲尿布xl38片包,幫寶適,0,0,幫寶適
19682,王子nepia麵包超人日本境內版褲型紙尿褲mxxl,日本大王,0,0,日本大王
19695,德國百靈braun新5系列親膚靈動電鬍刀5195cc,BRAUN 百靈,0,0,BRAUN 百靈
19697,solone專屬訂製指甲油s05過客,Solone,0,0,Solone
19703,hermes愛馬仕啞光唇膏75856453112118多色可選35g航空版,Hermes 愛馬仕,0,0,Hermes 愛馬仕
19704,loyano羅亞諾316陶瓷層保溫杯550ml700mlsgs認證保溫杯保溫瓶運動瓶陶瓷保溫杯,0,0,loyano羅亞諾,loyano羅亞諾
19719,566蛋黃素洗髮乳800g,566,0,0,566
19724,淨男士去屑洗髮乳強韌健髮淨爽型750g,head＆shoulders 海倫仙度絲,0,0,head＆shoulders 海倫仙度絲
19725,innisfree漢拏山柑橘c亮白潔顏泡泡150ml,innisfree,0,0,innisfree
19729,olivia60支頂級300織天絲萊賽爾tl2000玩色床包單品單人雙人加大特大不含枕套台灣製7色,ALAI 寢飾工場,0,0,ALAI 寢飾工場
19731,sastty日本製利尻昆布泡沫染髮露天然植萃無化學添加白髮染增色護色天然洗髮乳洗髮精養護式染髮台灣公司貨,0,MISTRAL,0,MISTRAL
19732,特潤冰導緊緻眼部精華,Estee Lauder 雅詩蘭黛,0,0,Estee Lauder 雅詩蘭黛
19737,app楓康無糖豆漿2kg,台灣好農,0,0,台灣好農
19738,清境離子鹼性水600ml24入箱,舒跑,0,0,舒跑
19740,鴻運薄荷香菸,開運陶源,0,0,開運陶源
19746,冰河105角鯊烷保濕修護面膜100m,Kiehl’s 契爾氏,0,0,Kiehl’s 契爾氏
19751,明德辣豆瓣醬165g,明德,0,0,明德
19761,芭比波朗專業眼勾勒刷,Bobbi Brown 芭比波朗,0,0,Bobbi Brown 芭比波朗
19777,266394青松長型微波保鮮盒1l3入,0,sistema,0,sistema
19778,dripo牧場咖啡牛乳即溶飲品25入盒蝦皮團購,Dripo,0,0,Dripo
19784,neogence霓淨思全天候極效抗陽防曬乳50ml海洋友善,Neogence 霓淨思,0,0,Neogence 霓淨思
19793,skii亮采化妝水230ml限量加大版正統公司貨,WHOO 后,0,0,WHOO 后
19795,onegirlrenata蕾娜塔rock系列彩染補色劑洗髮精補色洗髮精矯色美妝美髮免運,RENATA 蕾娜塔,0,0,RENATA 蕾娜塔
19821,lightbulb鑽石光粉餅764,Shu uemura 植村秀,0,0,Shu uemura 植村秀
19827,wedgwood100亞麻素色床包被套枕套四件組青碧藍加大,WEDGWOOD,0,0,WEDGWOOD
19830,被說愛木質溫控無水香薰夜燈台灣現貨usb燈擴香儀無水擴香小夜燈ledusb充電交換禮物生日禮,0,0,0,0
19832,durex杜蕾斯雙悅愛潮裝衛生套12入飆風碼3入2盒,Durex 杜蕾斯,0,0,Durex 杜蕾斯
19839,超值組白蘭強效潔淨除蟎超濃縮洗衣精16件組27kgx1瓶16kgx6包,白蘭,0,0,白蘭
19853,薩圖爾義式濾掛式咖啡10入10,SATUR 薩圖爾,0,0,SATUR 薩圖爾
19858,innisfree芥花糖蜜超保溼護唇膏官方旗艦店部分短效,innisfree,0,0,innisfree
19878,加價購lalune裸睡親膚絲滑天絲床包枕套組單雙大均一價加大星海虛空,0,COACH 蔻馳,0,COACH 蔻馳
19896,qpet巧沛馳走御膳新食感水蒸溫烤雞丁高齡犬300g狗零食雞肉雞丁,Q-PET,0,0,Q-PET
19897,幫寶適超薄乾爽nb號紙尿褲96片裝,幫寶適,0,0,幫寶適
19947,非洲微醺酒香熱,良品,0,0,良品
19960,領券再折可集點可刷卡免運有發票幫寶適超薄乾爽黏貼型紙尿布拉拉褲綠幫mlxlxxl,0,Pampers 幫寶適,0,Pampers 幫寶適
19981,canmake新晶燦指甲油,CANMAKE,0,0,CANMAKE
19992,canmake多功能高遮瑕膏官方直營美滿堂beautyfull,0,AMORTALS 爾木萄,0,AMORTALS 爾木萄
19994,create寬版優質牙刷軟,0,DazzlingDazzlin,0,DazzlingDazzlin
20005,雪碧纖維600ml,Sprite 雪碧,0,0,Sprite 雪碧
20009,好奇裸感紙尿褲黏貼型佩佩豬聯名限定版nbxl箱購蝦皮直送,HUGGIES 好奇,0,0,HUGGIES 好奇
20029,durex杜蕾斯air輕薄幻隱裝保險套8入,Durex 杜蕾斯,0,0,Durex 杜蕾斯
20040,現貨韓國innisfree濟州島火山泥毛孔調理潔顏泡泡150mlslbeauty,innisfree,0,0,innisfree
20044,sofina蘇菲娜primavista零油光輕勻調色修飾乳提亮款25ml,SOFINA 蘇菲娜,0,0,SOFINA 蘇菲娜
20048,妙而舒瞬吸舒爽嬰幼兒紙尿褲xl,小淘氣,0,0,小淘氣
20066,bennis班尼斯50年馬來鑽石級大廠雙人5x62尺x10cm百萬保證馬來西亞製頂級天然乳膠床墊,班尼斯,0,0,班尼斯
20072,清境竹炭水1500cc12入箱,清境,0,0,清境
20087,imunny情緒眼影盤正統公司貨,IM UNNY,0,0,IM UNNY
20100,325028h拭拭樂嬰兒柔濕巾85抽3包,拭拭樂,0,0,拭拭樂
20103,好奇純水一般濕巾100抽x3,HUGGIES 好奇,0,0,HUGGIES 好奇
20120,日本大王愛適多側背雙防漏黏貼型紙尿褲l5回7片包x8包箱購,日本大王,0,0,日本大王
20121,愛康抗菌衛生棉夜用型28cm7片任2件5折,0,icon 愛康,0,icon 愛康
20132,愛吾兒黃色小鴨piyo嬰兒護膚純水柔濕巾80抽24入一箱,0,COACH 蔻馳,0,COACH 蔻馳
20134,米粒森官方授權jx遮瑕刷jx255遮瑕膏專用刷具jxprofessional粉底刷pony推,0,AMORTALS 爾木萄,0,AMORTALS 爾木萄
20140,skii亮采化粧水230ml專櫃公司貨,COSME DECORTE 黛珂,0,0,COSME DECORTE 黛珂
20142,毛寶衣物柔軟精溫暖花香3200g,毛寶,0,0,毛寶
20146,p海之味貓無穀主食罐es5旗魚雞肉85g,0,Mon Petit 貓倍麗,0,Mon Petit 貓倍麗
20148,卡朵304fm006簡約不鏽鋼保溫瓶500ml黑,Caldo 卡朵生活,0,0,Caldo 卡朵生活
20154,canmake新晶燦指甲油n21n62n60n62新上市官方直營美滿堂beautyfull,0,CANMAKE,0,CANMAKE
20168,統一生機有機大燕麥片350g,統一生機,0,0,統一生機
20179,好奇純水嬰兒濕巾米奇米妮厚型70抽,0,HUGGIES 好奇,0,HUGGIES 好奇
20185,哈哈豆瓣醬450g,0,十全,0,十全
20187,gree格力68坪旗艦型變頻冷暖分離式冷氣gsh41hogsh41hi,GREE 格力,0,0,GREE 格力
20196,優鮮配低溫即食舒肥雞胸肉任選16包義式香草韓式泡菜凍,優鮮配,0,0,優鮮配
20197,傢俱工場芙拉天絲舒柔硬式護脊彈簧床墊偏硬,A FACTORY 傢俱工場,0,0,A FACTORY 傢俱工場
20198,公司貨有e發票娜芙nov防曬水凝乳spf32pa35g防曬乳水凝乳去序號有中文標籤,0,NOV 娜芙,0,NOV 娜芙
20201,microsoft無線行動滑鼠1850柔媚粉型號u7z00030,Microsoft 微軟,0,0,Microsoft 微軟
20209,霓淨思水感全效防曬乳spf5050ml,Neogence 霓淨思,0,0,Neogence 霓淨思
20211,拭拭樂嬰兒超純水濕紙巾85抽x36包箱購網,拭拭樂,0,0,拭拭樂
20217,巧福12吋碳素纖維電暖器as900cmit炭素電暖器暖氣電暖,巧福,0,0,巧福
20228,開運陶源桃木劍迷你避邪劍七星劍獅咬劍劍獅正桃木已開光防疫保平安避邪檔煞趨吉避凶,開運陶源,0,0,開運陶源
20255,優白洗面皂清爽型,SHISEIDO 資生堂東京櫃,0,0,SHISEIDO 資生堂東京櫃
20263,evian礦泉水,Evian 依雲,0,0,Evian 依雲
20274,morelife1對3藍牙折疊式鍵盤支架wkb2376mst,morelife,0,0,morelife
20277,bennis班尼斯50年馬來鑽石級大廠單人3x62尺x5cm百萬保證馬來西亞製頂級天然乳膠床墊,班尼斯,0,0,班尼斯
20280,台灣龍泉gobeer,蔘大王,0,0,蔘大王
20288,增量版特惠可集點可刷卡宅配免運開發票幫寶適超薄乾爽黏貼型紙尿布拉拉褲綠幫mlxlxxl,0,Pampers 幫寶適,0,Pampers 幫寶適
20302,likeacork蠟筆小新透氣天絲鋪棉兩用被套床包組塗鴉款單人tencel天絲萊賽爾纖維吸濕排汗寢具,Like a Cork,0,0,Like a Cork
20306,canmake完美氣墊眉筆56101,TOKYU HANDS 台隆手創館,0,0,TOKYU HANDS 台隆手創館
20309,韓國abib口香糖面膜27ml魚腥草,Abib 阿彼芙,0,0,Abib 阿彼芙
20314,德國百靈oralb活力亮潔電動牙刷d100兩色可選,Oral-B 歐樂B,0,0,Oral-B 歐樂B
20315,杜蕾斯輕薄幻隱裝衛生套8入8入,Durex 杜蕾斯,0,0,Durex 杜蕾斯
20321,庶務客innisfree我的小棕瓶洗髮精洗髮精抗屑強化髮根頭皮調理,MG 瑪格諾莉雅,0,0,MG 瑪格諾莉雅
20323,冰河105角鯊烷保濕修護面膜100ml,Kiehl’s 契爾氏,0,0,Kiehl’s 契爾氏
20341,三矢特製哈密瓜蘇打,KIYOU,0,0,KIYOU
20352,787807德國百靈動感超潔電動牙刷d1,Oral-B 歐樂B,0,0,Oral-B 歐樂B
20354,famo羊毛記憶膠防蹣獨立筒床墊單人加大35尺,FAMO 法摩,0,0,FAMO 法摩
20371,skii全效活膚潔面乳,SK-II,0,0,SK-II
20376,barracuda巴洛酷達kona81三鐵度數泳鏡k713,Barracuda 巴洛酷達,0,0,Barracuda 巴洛酷達
20383,大象生活館開發票永用牌直立式3層溫風式烘碗機mit台灣製造10人份fc3012,0,0,0,0
20393,bartolini動物造型五色義大利麵250g,0,Bartolini,0,Bartolini
20394,現貨單包超商取貨pampers幫寶適增量一級幫尿布日本境內版,0,Pampers 幫寶適,0,Pampers 幫寶適
20430,decamax50型4khdr智慧連網顯示器視訊盒dmp5000s,DECAMAX,0,0,DECAMAX
20431,日本獅王nonio牙刷經典瞬潔,TOKYU HANDS 台隆手創館,0,0,TOKYU HANDS 台隆手創館
20436,台糖什穀大燕麥片800g罐800公克罐,台糖,0,0,台糖
20441,fellowcarter大容量陶瓷真空保溫杯16oz三色磨砂黑霧面白清水灰vvcafe,0,FELLOW,0,FELLOW
20454,lac利維喜獨家4入組gnc健安喜優視30葉黃素膠囊60顆葉黃素天然金盞花舒適晶亮,LAC 利維喜,0,0,LAC 利維喜
20474,新淨安10吋udf7one英國purolite食品級離子交換樹脂濾心淨水器過濾器使用台灣製造mt115,0,0,新淨安,新淨安
20476,slim健康舒眠型石墨烯能量乳膠記憶膠硬式獨立筒床墊單人加大35尺,SLIM,0,0,SLIM
20477,anlene安怡安怡濃縮乳清蛋白免疫球蛋白高鈣低脂奶粉1400gx2罐,Anlene 安怡,0,0,Anlene 安怡
20498,eat大阪王將水餃沾醬100ml,0,0,大阪王將,大阪王將
20500,avance極細抗暈眼線液咖啡粉,AVANCE,0,0,AVANCE
20504,白蘭超濃縮洗衣球袋裝27顆x10包陽光馨香強效潔淨贈廚房料理3件組,白蘭,0,0,白蘭
20507,茗源茶坊台灣茶高山茶烏龍茶四季春茶綠茶金萱茶烏龍茶冷泡茶,龍源茶品,0,0,龍源茶品
20518,dripo日本牧場咖啡牛乳即溶飲品日系原味16g每包共25包咖啡牛乳咖啡牛奶,Dripo,0,0,Dripo
20521,maquillage心機彩妝口罩妝容主打心機星魅漸層特調眼影4g5色任選超人氣眼影,0,COACH 蔻馳,0,COACH 蔻馳
20522,日本大王境內版奢華肌褲型紙尿褲xl34片串共34片,日本大王,0,0,日本大王
20525,canmake激細滑順眼線膠筆46505,TOKYU HANDS 台隆手創館,0,0,TOKYU HANDS 台隆手創館
20529,幫寶適一級幫紙尿褲尿布m144片x2箱日本原裝愛買網,幫寶適,0,0,幫寶適
20534,n011493270aura艾樂簡約陶瓷不沾保溫瓶550ml經典原,AURA 艾樂,0,0,AURA 艾樂
20537,望zero零卡可樂,可口可樂,0,0,可口可樂
20540,德國wmfprovenceplus系列24cm低身湯鍋蒸鍋蒸籠,WMF,0,0,WMF
20545,housedoor好適家居天然防蚊防螨技術保護表布絕代雙膠床墊乳膠記憶10公分厚雙人5尺,House Door 好適家居,0,0,House Door 好適家居
20550,proastar貓薄荷夾心餡餅20g包貓零食貓餅乾貓餡餅貓薄荷,0,A-star Bones,0,A-star Bones
20559,microsoft微軟無線滑鼠鍵盤組2000,Microsoft 微軟,0,0,Microsoft 微軟
20572,限時2入1980hoyacasa100天絲床包枕套三件組雙人加大多款任選,HOYACASA,0,0,HOYACASA
20584,n012422367日本osk日本製無印風可微波分隔保鮮盒3入組650ml,0,NAKAYA,0,NAKAYA
20591,淨男士去屑洗髮乳清爽控油型750g,head＆shoulders 海倫仙度絲,0,0,head＆shoulders 海倫仙度絲
20593,英國adnamseaseupipa啤酒500ml,0,COACH 蔻馳,0,COACH 蔻馳
20605,拭拭樂柴語錄潔膚柔濕巾10抽小三美日ds005521,拭拭樂,0,0,拭拭樂
20612,喵玩國不用卷就免運現貨快速出貨奧藍多天然無穀鮮貓糧貓飼料無穀貓飼料天然貓飼料無穀貓糧天然貓糧,蔚特尼思,0,0,蔚特尼思
20619,幫寶適一級幫嬰兒紙尿褲日本境內版s號,幫寶適,0,0,幫寶適
20632,歐洲barwa米粹純淨柔嫩美肌皂100g,0,0,barwa,barwa
20639,749288毛寶制臭極淨抗菌洗衣精補充,毛寶,0,0,毛寶
20646,nonamekangol袋鼠背後logo刺繡大學t男生,KANGOL,0,0,KANGOL
20652,心靈雞湯chickensoup黑標無穀美國雞肉低敏護膚全齡貓配方4磅貓飼料,Chicken Soup 心靈雞湯,0,0,Chicken Soup 心靈雞湯
20680,110043271e3327acerka272bi螢幕1msfsyncips,0,0,宏碁acer,宏碁acer
20694,紅米104g64g智慧型手機卵石白,OPPO,0,0,OPPO
20696,比利時alpro經典無糖燕麥奶1000ml,ALPRO,0,0,ALPRO
20705,ecsaholea洗髮露,Grahams 珂然,0,0,Grahams 珂然
20712,divinia零負擔瞬效隱形防曬噴霧spf50pa70g,0,divinia 蒂芬妮亞,0,divinia 蒂芬妮亞
20713,doshisha輕量吸塵器vsv121dgr,DOSHISHA,0,0,DOSHISHA
20718,杜蕾斯超薄型衛生套3入裝,Durex 杜蕾斯,0,0,Durex 杜蕾斯
20722,紅包888現折下殺71折300倍高濃度b群長效10小時人蔘蜆b群30粒8瓶,0,COACH 蔻馳,0,COACH 蔻馳
20732,允諾兒童b群咀嚼錠150錠,0,Natural D,0,Natural D
20742,超值狗乾糧牛35kg,KITTIWAKE 吉諦威,0,0,KITTIWAKE 吉諦威
20779,superdry男裝長袖t恤vintagelogoemb墨綠,Superdry,0,0,Superdry
20782,miiiw米物辦公鍵鼠套裝windowsmac雙系統快速一鍵切換,0,MIIIW 米物,0,MIIIW 米物
20786,glasslock保鮮盒,Glasslock,0,0,Glasslock
20787,嘿囉halo成貓燉食無穀低脂新鮮雞肉燉豌豆鷹嘴豆3磅貓飼料,HALO 嘿囉,0,0,HALO 嘿囉
20789,pojunj01電競滑鼠rgb滑鼠鼠標遊戲滑鼠滑鼠有線滑鼠,HP 惠普,0,0,HP 惠普
20791,日本肯特涼菸ss風味晶球5號5毫克,0,COACH 蔻馳,0,COACH 蔻馳
20795,769095茶樹莊園濃縮抗菌洗衣精補充,朵舒,0,0,朵舒
20811,黑豆桑金缸經典組金豆醬油550mlx3缸底醬油550mlx3,黑豆桑,0,0,黑豆桑
20822,東龍牌36l電動給水熱水瓶te2211m,晶工牌,0,0,晶工牌
20825,蠟筆小新不鏽鋼吸管杯nornscrayonshinchan正版授權保溫杯304不鏽鋼,0,蠟筆小新,0,蠟筆小新
20853,woky沃廚jin真瓷系列極簡輕量陶瓷保溫瓶580ml網,WOKY 沃廚,0,0,WOKY 沃廚
20872,ecahc面膜,PG CITY,0,0,PG CITY
20883,721314淨女士去屑洗髮乳冰恬薄荷止,CLEAR 淨,0,0,CLEAR 淨
20891,迷他meeta1鏡淨香香氛機擴香儀薰香機擴香機芳香機無水香氛機usb擴香機meeta迷他,原木香,0,0,原木香
20899,superdry女裝長袖外套飛行夾克ma1bomberburnt橘8,Superdry,0,0,Superdry
20907,韓國median93強效淨白除牙垢牙膏120g防護抗菌淨白除牙垢口臭牙周護理蝦皮直送,0,MEDIAN,0,MEDIAN
20913,110043306lk1aceran515575875黑144hz,0,new balance 紐巴倫,0,new balance 紐巴倫
